【经文资讯】大正新修大藏经 第四册 No. 199《佛五百弟子自说本起经》
【版本记录】CBETA 电子佛典 V1.0 (Big5) 普及版，完成日期：1999/12/10
【编辑说明】本资料库由中华电子佛典协会（CBETA）依大正新修大藏经所编辑
【原始资料】萧镇国大德提供，维习安大德提供之高丽藏 CD 经文，北美某大德提供
【其它事项】本资料库可自由免费流通，详细内容请参阅【中华电子佛典协会资料库基本介绍】(http://ccbs.ntu.edu.tw/cbeta/result/cbintr.htm)
=========================================================================
# Taisho Tripitaka Vol. 4, No. 199 佛五百弟子自说本起经
# CBETA Chinese Electronic Tripitaka V1.0 (Big5) Normalized Version, Release Date: 1999/12/10
# Distributor: Chinese Buddhist Electronic Text Association (CBETA)
# Source material obtained from: Text as provided by Mr. Hsiao Chen-Kuo, Tripitaka Koreana as provided by Mr. Christian Wittern, Text as provided by Anonymous, USA
# Distributed free of charge. For details please read at http://ccbs.ntu.edu.tw/cbeta/result/cbintr_e.htm
=========================================================================
T04n0199_p0190a01┃
T04n0199_p0190a02┃　　No. 199
T04n0199_p0190a03┃佛五百弟子自说本起经
T04n0199_p0190a04┃
T04n0199_p0190a05┃　　　　西晋三藏竺法护译
T04n0199_p0190a06┃盖阿耨达龙王者(晋名无焚)。佛在世时受别菩萨
T04n0199_p0190a07┃也。有神猛之德。据于昆仑之墟。斯龙所居宫
T04n0199_p0190a08┃馆宝殿。五河之源则典览焉。有八味水池
T04n0199_p0190a09┃华殖七色。服此水者即识宿命。於时龙王请
T04n0199_p0190a10┃佛世尊及五百上首弟子。进膳毕讫坐莲华
T04n0199_p0190a11┃上。追讲本起所造罪福。皆由纤微转受报应。
T04n0199_p0190a12┃弥劫历纪莫能自济。侥值正觉乃得度世。各
T04n0199_p0190a13┃自撰歌而达颂曰
T04n0199_p0190a14┃　　大迦叶品第一(十九偈)
T04n0199_p0190a15┃　佛人中上为法御　　断除结狱游舍卫
T04n0199_p0190a16┃　诸根为寂德巍巍　　如来自告其比丘
T04n0199_p0190a17┃　有诸鬼神所娱乐　　种种众华无央数
T04n0199_p0190a18┃　四渎涌出向四方　　彼诸流河归江海
T04n0199_p0190a19┃　私头那提伯师子　　人不能至神足到
T04n0199_p0190a20┃　飞行疾矣乃越耳　　疾共诣彼渊流池
T04n0199_p0190a21┃　比丘曰善唯从命　　大通安住上弟子
T04n0199_p0190a22┃　闻尊教敕乘神足　　譬如雁王导众雁
