【经文资讯】大正新修大藏经 第十七册 No. 726《六趣轮回经》
【版本记录】CBETA 电子佛典 V1.16 (Big5) 普及版，完成日期：2001/07/27
【编辑说明】本资料库由中华电子佛典协会（CBETA）依大正新修大藏经所编辑
【原始资料】萧镇国大德提供，维习安大德提供之高丽藏 CD 经文，北美某大德提供
【其它事项】本资料库可自由免费流通，详细内容请参阅【中华电子佛典协会资料库基本介绍】(http://www.cbeta.org/cbeta/result/cbintr.htm)
=========================================================================
# Taisho Tripitaka Vol. 17, No. 726 六趣轮回经
# CBETA Chinese Electronic Tripitaka V1.16 (Big5) Normalized Version, Release Date: 2001/07/27
# Distributor: Chinese Buddhist Electronic Text Association (CBETA)
# Source material obtained from: Text as provided by Mr. Hsiao Chen-Kuo, Tripitaka Koreana as provided by Mr. Christian Wittern, Text as provided by Anonymous, USA
# Distributed free of charge. For details please read at http://www.cbeta.org/cbeta/result/cbintr_e.htm
=========================================================================
T17n0726_p0455a13║
T17n0726_p0455a14║
T17n0726_p0455a15║　　No. 726
T17n0726_p0455a16║六趣轮回经
T17n0726_p0455a17║
T17n0726_p0455a18║　　　　马鸣菩萨集
T17n0726_p0455a19║　　　　西天译经三藏朝散大夫
T17n0726_p0455a20║　　　　试鸿胪少卿宣梵大师赐紫
T17n0726_p0455a21║　　　　沙门臣日称等奉　诏译
T17n0726_p0455a22║　归命三世尊　　正等觉所说
T17n0726_p0455a23║　常行于利他　　积集诸功德
T17n0726_p0455a24║　若自身口意　　所作善恶业
T17n0726_p0455a25║　感果定非差　　无别造作者
T17n0726_p0455a26║　最胜之导师　　现证垂慈愍
T17n0726_p0455a27║　普为诸有情　　说随业受报
T17n0726_p0455a28║　此相应正理　　闻已当领受
T17n0726_p0455a29║　作业皆自心　　为因驰六趣
T17n0726_p0455b01║　由三毒怖畏　　贩卖诸物命
T17n0726_p0455b02║　养已杀于他　　当堕等活狱
T17n0726_p0455b03║　彼寿百千岁　　加刀杖捶打
T17n0726_p0455b04║　死已更复生　　受如是苦报
T17n0726_p0455b05║　于父母朋属　　而生于损害
T17n0726_p0455b06║　起妄语欺诳　　当堕黑线狱
T17n0726_p0455b07║　黑线絣其身　　如世间解木
T17n0726_p0455b08║　锯发焰炽然　　受如是苦报
T17n0726_p0455b09║　以火焚山川　　林木及原野
T17n0726_p0455b10║　烧害诸有情　　当堕炎热狱
T17n0726_p0455b11║　火焰遍烧然　　苦叫声不绝
T17n0726_p0455b12║　两目无有明　　受如是苦报
T17n0726_p0455b13║　谓法说非法　　无根而诽谤
T17n0726_p0455b14║　令他生热恼　　堕极炎热狱
T17n0726_p0455b15║　是诸罪众生　　为大火逼切
T17n0726_p0455b16║　烧然不暂停　　受如是苦报
T17n0726_p0455b17║　于猪羊狐兔　　及余生类等
T17n0726_p0455b18║　杀害彼无边　　当堕众合狱
T17n0726_p0455b19║　生彼地狱已　　备受诸楚毒
T17n0726_p0455b20║　拷掠灭还生　　受如是苦报
T17n0726_p0455b21║　起恶身语意　　谗构相离间
T17n0726_p0455b22║　如是罪众生　　当堕号叫狱
T17n0726_p0455b23║　彼炽猛火焰　　烧然无休息
T17n0726_p0455b24║　常发大恶声　　受如是苦报
T17n0726_p0455b25║　若于佛法僧　　及诸贪乏者
T17n0726_p0455b26║　剽窃彼财物　　堕大号叫狱
T17n0726_p0455b27║　为火所烧炙　　受最极热恼
T17n0726_p0455b28║　出大猛恶声　　受如是苦报
T17n0726_p0455b29║　于父母师长　　及有德贤者
T17n0726_p0455c01║　起增上杀害　　定堕无间狱
T17n0726_p0455c02║　炎炽大火聚　　洞然彻骨髓
T17n0726_p0455c03║　长时受极苦　　决定无暂乐
T17n0726_p0455c04║　起冤敌斗诤　　戈戟相残害
T17n0726_p0455c05║　死堕铜爪狱　　其状极锋利
T17n0726_p0455c06║　互相而擘裂　　或变为刀杖
T17n0726_p0455c07║　竞斫刺其身　　受如是苦报
T17n0726_p0455c08║　强暴侵他色　　后堕铁刺狱
T17n0726_p0455c09║　刺长十六指　　削肉而穿骨
T17n0726_p0455c10║　复有大铁女　　焰牙甚可怖
T17n0726_p0455c11║　啖顶至其踵　　受如是苦报
T17n0726_p0455c12║　若阴谋害他　　堕彼剑叶林
